,date,time,latitude,longitude,depth,magnitude,magnitude_type
76,2017-10-21,02:45:01.830000,36.9307,27.5882,14500.0,3.7,MLh
77,2017-09-11,02:47:20.951816,36.95343018,27.58392334,17032.02311,1.704929526,MLh
78,2015-08-31,02:49:21.460000,36.8438,27.3135,14200.0,2.3,MLh
79,2016-11-11,02:51:51.710000,36.9718,27.3877,15300.0,3.1,MLh
80,2017-07-21,02:54:27.580000,36.9552,27.541,8900.0,3.4,MLh
81,2017-07-22,02:56:10.340000,36.9618,27.341,14300.0,3.2,MLh
82,2017-08-08,03:00:24.016953,36.98730469,27.58300781,20789.71354,2.618809696,MLh
83,2014-08-12,03:01:17.180000,36.9652,27.3707,28200.0,2.6,MLh
84,2017-08-06,03:04:06.298091,36.98730469,27.52441406,19498.04688,2.627736682,MLh
85,2012-05-21,03:09:12.980000,36.9905,27.5737,33400.0,2.0,MLh
86,2017-07-21,03:09:35.730000,36.969,27.5395,7100.0,3.6,MLh
87,2017-07-27,03:11:03.890000,36.9583,27.363,10100.0,2.6,MLh
88,2017-07-24,03:11:15.630000,36.9255,27.5987,10700.0,2.7,MLh
89,2012-05-21,03:11:17.130000,36.9837,27.531,29600.0,2.0,MLh
90,2017-07-21,03:13:59.630000,36.9418,27.525,8200.0,3.2,MLh
91,2013-10-30,03:17:12.630000,36.8787,27.5458,30400.0,3.7,MLh
92,2017-08-08,03:20:52.382513,36.97265625,27.59765625,17257.8125,3.02217618,MLh
93,2014-11-10,03:21:28.070000,36.8182,27.3168,18500.0,2.5,MLh
94,2013-10-30,03:22:03.540000,36.868,27.5073,32600.0,3.6,MLh
95,2017-09-16,03:23:06.208379,36.8671875,27.3203125,18662.76042,2.631700064,MLh
96,2014-08-16,03:23:28.790000,36.9957,27.3738,33200.0,2.3,MLh
97,2017-07-21,03:24:41.380000,36.9062,27.456,11400.0,3.1,MLh
98,2017-08-14,03:28:28.510000,36.9477,27.357,11900.0,3.1,MLh
99,2017-07-23,03:32:18.100000,36.9477,27.5868,9400.0,3.5,MLh
100,2017-07-30,03:42:39.130931,36.96807861,27.36968994,11669.55566,2.698953639,MLh
101,2017-07-23,03:45:33.870000,36.9305,27.5607,12600.0,1.8,MLh
102,2014-03-29,03:50:03.280000,36.951,27.3703,26100.0,2.5,MLh
103,2017-07-22,03:53:54.670000,36.9015,27.4712,10200.0,2.8,MLh
104,2017-07-21,03:55:33.560000,36.9415,27.5603,10300.0,3.5,MLh
105,2017-10-11,03:59:55.531485,36.92871094,27.55371094,29992.83854,3.295778188,MLh
106,2017-07-27,04:00:04.510000,36.9318,27.552,13500.0,2.8,MLh
107,2014-08-15,04:00:17.700000,36.9978,27.4093,28000.0,3.9,MLh
108,2014-10-01,04:02:55.660000,36.9598,27.3463,25900.0,2.4,MLh
109,2018-05-01,04:03:49.280000,36.9203,27.5995,6600.0,3.9,MLh
110,2015-01-27,04:04:52.370000,36.8823,27.2747,15000.0,2.3,MLh
111,2018-06-04,04:07:49.237714,36.82342529,27.2177124,7162.801107,2.773945589,MLh
112,2018-01-20,04:08:45.200000,36.9538,27.436,16900.0,2.5,MLh
113,2017-08-23,04:09:39.023891,36.92871094,27.49511719,17936.84896,2.962264174,MLh
114,2014-08-15,04:14:55.720000,36.9528,27.324,23000.0,2.3,MLh
115,2011-04-25,04:18:33.780000,36.9085,27.527,32600.0,2.6,MLh
116,2017-07-22,04:28:20.610000,36.9558,27.353,13800.0,2.9,MLh
117,2014-02-14,04:28:48.250000,36.8178,27.4013,28100.0,3.2,MLh
118,2013-10-30,04:29:08.400000,36.8773,27.5163,32200.0,2.4,MLh
119,2017-07-30,04:29:21.350000,36.9017,27.5763,16200.0,2.6,MLh
120,2017-07-21,04:39:25.220000,36.9122,27.5922,12100.0,3.7,MLh
121,2012-05-18,04:46:23.150000,36.8387,27.5453,29400.0,2.7,MLh
122,2017-09-02,04:59:49.275552,36.84082031,27.34863281,35979.81771,3.234804184,MLh
123,2017-07-22,05:02:49.540000,36.893,27.598,13400.0,3.4,MLh
124,2017-07-21,05:04:01.460000,36.9148,27.5927,12300.0,4.4,MLh
125,2014-08-19,05:15:51.510000,36.9958,27.3698,30000.0,3.1,MLh
126,2014-03-29,05:25:34.540000,36.9292,27.3015,11900.0,2.6,MLh
127,2017-07-21,05:26:56.638723,36.98730469,27.43652344,13362.63021,3.204848328,MLh
128,2017-07-26,05:28:05.090000,36.956,27.5777,10700.0,2.7,MLh
129,2017-07-22,05:28:13.460000,36.9267,27.5617,10100.0,3.3,MLh
130,2017-07-22,05:31:18.930000,36.989,27.3673,10500.0,3.6,MLh
131,2016-08-03,05:31:24.870000,36.8498,27.422,35800.0,2.8,MLh
132,2017-07-28,05:36:52.930000,36.93,27.5995,11900.0,2.7,MLh
133,2017-07-21,05:43:01.320000,36.9013,27.461,5800.0,3.5,MLh
134,2015-01-05,05:48:57.190000,36.8703,27.5012,11600.0,2.8,MLh
135,2017-07-21,05:52:13.760000,36.9942,27.348,9500.0,3.9,MLh
136,2017-07-26,05:53:22.770000,36.9537,27.3892,11600.0,2.6,MLh
137,2017-11-22,05:55:05.720000,36.9397,27.4855,7100.0,2.6,MLh
138,2017-07-23,06:03:09.120000,36.9108,27.5683,13400.0,3.1,MLh
139,2017-07-22,06:10:06.210000,36.9425,27.5668,9400.0,2.9,MLh
140,2017-08-29,06:20:08.320000,36.9348,27.3508,12400.0,3.7,MLh
141,2017-07-21,06:27:58.375516,36.89941406,27.49511719,18852.21354,3.256176007,MLh
142,2012-06-08,06:46:04.330000,36.983,27.5733,33300.0,3.0,MLh
143,2017-07-21,06:47:23.790000,36.8748,27.544,26500.0,3.7,MLh
144,2017-07-24,06:48:09.870424,36.92871094,27.52441406,19982.42188,2.808184588,MLh
145,2011-07-12,06:58:54.530000,36.8295,27.443,28600.0,3.1,MLh
146,2017-07-24,06:59:26.700000,36.9437,27.5772,17500.0,2.9,MLh
147,2011-07-12,07:00:35.430000,36.8185,27.4368,29300.0,2.7,MLh
148,2017-09-12,07:00:49.150000,36.9462,27.2478,13900.0,2.8,MLh
149,2017-07-21,07:05:25.530000,36.903,27.4985,15800.0,3.7,MLh
150,2017-07-30,07:06:17.930000,36.9673,27.5863,8700.0,3.6,MLh
151,2011-07-12,07:08:43.100000,36.8177,27.4678,28000.0,2.3,MLh
152,2017-07-21,07:11:27.890000,36.9322,27.5602,11900.0,3.6,MLh
153,2017-07-21,07:13:51.930000,36.9238,27.4633,14500.0,3.4,MLh
154,2014-04-15,07:17:07.670000,36.9993,27.4852,18300.0,2.3,MLh
155,2014-04-18,07:17:19.020000,36.9867,27.3897,26700.0,2.7,MLh
156,2017-07-23,07:22:56.040000,36.9557,27.3455,13400.0,2.6,MLh
157,2017-10-16,07:23:49.954616,36.92871094,27.29003906,19134.76562,3.473569842,MLh
158,2017-07-22,07:27:20.930000,36.9445,27.3313,16800.0,3.0,MLh
159,2016-11-05,07:35:49.520000,36.9933,27.393,9900.0,3.3,MLh
160,2014-08-16,07:37:59.670000,36.9983,27.3617,27500.0,3.0,MLh
161,2017-08-31,07:38:06.918741,36.9140625,27.3046875,24119.79167,3.367498405,MLh
162,2014-04-07,07:41:59.950000,36.9995,27.4695,30100.0,2.8,MLh
163,2017-07-21,07:47:19.004518,36.89941406,27.46582031,11586.58854,3.319433639,MLh
164,2012-05-20,07:52:58.140000,36.8597,27.5518,28100.0,2.5,MLh
165,2017-07-22,07:53:12.560000,36.9768,27.5182,12000.0,3.2,MLh
166,2017-08-08,07:53:24.440000,36.9872,27.5775,8400.0,3.3,MLh
167,2017-07-29,08:00:35.298035,36.94335938,27.50976562,30053.38542,3.080250658,MLh
168,2013-10-13,08:01:03.870000,36.8752,27.439,21700.0,2.6,MLh
169,2015-05-29,08:02:51.960000,36.8433,27.5618,45200.0,4.1,MLh
170,2017-08-08,08:04:28.670000,36.9873,27.5813,13800.0,3.0,MLh
171,2017-08-11,08:05:12.950000,36.9998,27.531,9100.0,2.6,MLh
172,2017-09-09,08:09:26.361511,36.92871094,27.37792969,13634.76562,3.178863631,MLh
173,2017-07-28,08:10:05.810000,36.9563,27.3383,13600.0,2.8,MLh
174,2017-08-09,08:13:38.841261,36.98730469,27.52441406,16995.44271,3.010611503,MLh
175,2017-07-21,08:28:29.300000,36.9608,27.3258,12700.0,3.0,MLh
176,2017-07-25,08:34:00.210000,36.9637,27.5005,13600.0,3.1,MLh
177,2017-07-21,08:34:02.110000,36.9542,27.528,7900.0,3.4,MLh
178,2017-08-08,08:36:43.760000,36.9972,27.5825,13400.0,3.4,MLh
179,2014-03-27,08:44:23.090000,36.912,27.2678,22400.0,2.4,MLh
180,2017-09-03,08:56:05.920000,36.9508,27.3913,9400.0,3.8,MLh
181,2017-10-16,08:57:47.747186,36.97265625,27.59765625,18065.10417,3.052777752,MLh
182,2017-09-28,08:58:39.204163,36.95800781,27.46582031,13483.72396,3.275407624,MLh
183,2017-07-21,08:58:40.510000,36.9717,27.4995,7300.0,3.4,MLh
184,2017-08-01,09:01:28.420000,36.979,27.5465,13100.0,3.4,MLh
185,2017-08-10,09:02:46.976751,36.98730469,27.40722656,32495.44271,3.214029047,MLh
186,2018-02-10,09:07:19.200000,36.9662,27.3783,14500.0,2.7,MLh
